n_weeks,target,consolidation
1,ILI+_FLU_A,94.86908110899878
1,ILI+_FLU_B,90.90909090909092
2,ILI+_FLU_A,97.89473684210526
2,ILI+_FLU_B,96.79293545861613
3,ILI+_FLU_A,98.50746268656717
3,ILI+_FLU_B,98.05628760142199
4,ILI+_FLU_A,98.97018970189703
4,ILI+_FLU_B,98.57343781394414
5,ILI+_FLU_A,99.14441328293296
5,ILI+_FLU_B,99.20474465426616
6,ILI+_FLU_A,99
6,ILI+_FLU_B,99.25415483176445
7,ILI+_FLU_A,98.63207940612229
7,ILI+_FLU_B,99.49591881849436
8,ILI+_FLU_A,97.40147995181553
8,ILI+_FLU_B,99.5080206682384
9,ILI+_FLU_A,98
9,ILI+_FLU_B,99.04373732732213
10,ILI+_FLU_A,97.73532954741009
10,ILI+_FLU_B,98.87418806335747
11,ILI+_FLU_A,97.51505764928584
11,ILI+_FLU_B,98.49278939345301
12,ILI+_FLU_A,97.67827529021558
12,ILI+_FLU_B,97.88312012889008
13,ILI+_FLU_A,94.10436527847466
13,ILI+_FLU_B,97.80286040118986
14,ILI+_FLU_A,93.95383843452082
14,ILI+_FLU_B,97.6710429447192
15,ILI+_FLU_A,93.71772805507746
15,ILI+_FLU_B,97.4248974999852
16,ILI+_FLU_A,93.07447116777745
16,ILI+_FLU_B,96.76074528067636
17,ILI+_FLU_A,90.03181336161188
17,ILI+_FLU_B,96.5853414809925
18,ILI+_FLU_A,88.33286477368569
18,ILI+_FLU_B,96.48132558942339
19,ILI+_FLU_A,86.9674185463659
19,ILI+_FLU_B,96.48132558942339
20,ILI+_FLU_A,86.95071010860484
20,ILI+_FLU_B,96.35528013129925
21,ILI+_FLU_A,86.8671679197995
21,ILI+_FLU_B,96.3306009605194
22,ILI+_FLU_A,86.61654135338345
22,ILI+_FLU_B,96.8609571341211
23,ILI+_FLU_A,88.0236154062412
23,ILI+_FLU_B,97.5626759892808
24,ILI+_FLU_A,87.93927466966545
24,ILI+_FLU_B,96.01226993865032
